content,gender_imputed
介意介意介意我不介意女朋友有过性经验，但是接受不了有同居史。因为这完全是两码事。两个人朝夕相处、同床共枕无数个日日夜夜，挥洒了多少的激情潮湿......这么说吧，如果把跟女孩子都亲密行为比喻成游戏闯关，开房、住宾馆一年的解锁进度，都没有同居一个月猛你信不信？我没同居过，但是我跟前女友在一起住过两周左右，那两周的探索精神与玩法，已经远超之前半年酒店里的累积叠加了......你想象一下，每天晚上她都躺在身边：唾手可得，积极配合。从里到外，差点玩坏。性行为仅仅是一方面，另一方面同居意味着生活的全部融入、接纳。真正的做到了闭上眼和睁开眼都是你。一起做饭、一起躺尸、一起洗澡、一起上下班......这种亲密的生活状态结束了，说实话跟离婚没太大差别。关注我久的朋友都知道，凯子我算是心胸豁达的了，毫不介意女朋友有性经验。什么初吻、初夜在我这统统不重要。但是同居史我没办法接受，这不仅仅关乎身体，更是两个人的吃喝拉撒、衣食住行的全面交融，那些没体验过的、我还新鲜的生活状态，两人相依在你那里全部都有过经验了。就好像我们期待已久，本应该一起看的电影，你不等我提前跟别人看完了，然后跟我说：“嗯，挺好看的，我还可以陪你一起看啊。”索然无味。,1
介意，我是女生，我介意对象和别人同居过。虽然我对象没有和别人同居过，但是我肯定介意他同居过，你们有的男生介意的东西，我们女生同样介意。我会介意他不是处男。我会介意他和别的女生抱抱过。我会介意他和别的女生拥吻过。我会介意他和别的女生为爱鼓掌过。我会介意他很喜欢过另外一个女孩子。我的介意并不一定是因为我很爱他，而是我真的很介意，我会觉得他脏了，因为我是处女就跟着他的。所以你们那些自认为自己不是处男的男生凭什么认为自己同居过，自己都不是处男，我们女生不会介意，可别双标了，男生介意的，我们女生同样会介意。所以麻烦男孩子也洁身自好，不要随便把自己的第一次给别的女生，不要随便同居，因为我们女生很嫌弃，而且只要你们洁身自好，不随便同居，也不会存在有你们介意的同居过，或者你们觉得不是第一次的女生。,0
没有男人不介意,1
理智上不介意，冷静的时候也不介意，偶尔喝多了，心情不好或者他不在家我胡思乱想的时候会介意，然后胡乱跟他发脾气，打他一顿以后就不介意了，留他自己一脸懵逼。他谈那个女朋友的时候24岁，成年男性，生活独立，和女朋友在城市里奋斗打拼，把女朋友规划进自己的未来，如果我闺蜜找了个这样的男朋友真的会祝福祝福再祝福。所以，他是个成熟又负责的人，分手也是自己深思熟虑做的决定，翻页了就不会再在乎了，我还介意什么？我还曾经一本正经的和他讨论了他和前女友感情变差的原因，没有吃醋，没有无理取闹，聊完了以后，反而摸清了他的底线和喜好，我觉得是很好的事啊。反倒是他比较惊讶，说他朋友的对象们很少这么理智，他都做好买包换命的准备了……有时候我还会拿他的前女友开玩笑，我能清楚的看到他眼里的惊讶和不可置信，大概就是，这丫头怎么什么都敢说啊，她是不是有点傻，傻会遗传给我儿子吗，怎么办，我怎么才能治住她……不说了，我去学习了，争取今年省考上岸，异地恋挺辛苦的。,0
自己不是一个恪守本心的正人君子，也不要求对方是纯洁善良的好姑娘,1
文笔不错的，故事看起来很难受，但想知道“我”是什么样的人？假如我今年30岁了，也曾年轻过，疯狂过，如今也是浪子回头，想安稳度日，恰逢一个成熟、知冷热又懂风情的好女人，反觉万幸。本人觉得“不舒服” 的来源还是在于过往经验的不平等，但正如有人喜欢成熟的，有人喜欢单纯的，萝卜青菜各有所爱。不论男女，成熟必然是在曾经的人身上经历过来的。既如此，爱上难道只是因为一时的冲动？我的观点是，过往的经历并不影响现在的感情，真正的“坎”是留恋过往的那个人。过去的感情，任他是轰轰烈烈甘甜似密，曾经的回忆留下，那个前人，爱恨都不必有了。怀抱着过去的爱或恨，现在是不会感到幸福的。虽然过去我曾挚爱某个人，但我也不会担心现在的爱人会介意我的过去，因为我给她的爱同样是不同以往独一无二的。从描写上中看楼主的爱情观是欲大于灵，强调相互占有，与我的观点道不同，不过分享一下自己的观点。,0
介意，非常非常介意。 我没有同居过，我觉得同居后分手，就像结婚离婚了一样。生活细节到每个角落。  个人觉得，喜欢或者爱不介意他对某个女的好过是假的。虽然是过去式了。 可能你们在吃饭的时候，他细心给你夹菜，挑刺，你都会想，他以前也是这样温柔的照顾过别人。  虽然感觉一瞬间，有点病态，哈哈哈就是那么一瞬间吧。  所以我不太喜欢，问我喜欢的人的过去恋情。我了解我自己，会浮想联翩些有的没的。给自己找事。让自己不痛快。,0
呐呐，同居这个标签，意味着什么呢？,1
好多人对此的回答都是介意，要么介意女朋友因此不是处女了……要么介意男朋友有过别的女人，会不会还和对方藕断丝连呢？要么就是各种理由。可其实有什么用呢？除非你和你的那个他或者她从小一起长大，一起吃饭一起上学一起拉屎一起睡觉，干什么都在一起。不然，你总有不在他身边的时候，那时候的他是怎么样，你想过吗？而且这样的例子有多少？真正能在一起的，又有多少？所以后来才知道，是人都有过去，介意不完的。毕竟，谁还没有点私生活了。所以，有时候在意，是因为觉得自己比不上他过去的女朋友或者男朋友，所以不舒服，所以会介意。可是人无完人啊。或者在他（她）眼里，她（他）有那么多的好。可是那是因为他们分开了，而且他或者她是因为对现任有些不满，才会想起前任的好。可是前任的坏呢？选择性遗忘罢了。所以，介意得过来吗？不过是吵架，不过是撕逼，然后吵累了分开了，后悔了，再想回头的时候，来不及了。有必要吗？所以，我的答案是不介意。因为我没兴趣和别人比。我好就好，不好就不好，怎么样都是我。只要不做亏心事，特意伤害谁，我就这样过。他懂得欣赏我就在我身边，不懂得麻烦离开。我没那么多兴趣去在意太多。因为以前的经历告诉我，越在意什么，越会失去什么，所以我如其在意，不如安静等待。因为后来你才会发现，也许在你在意的过程中，你正在悄悄的失去他，你却不知道，而等你后悔的时候，一切再也来不及。何苦又何必？谁还不是一个伤心人啊……,0
我和你讲。发生婚姻的原因不是性。,NA
你没同居过可能就介意吧，我觉得这事儿不妨碍你爱他，你和他过的是以后的生活，以前的事儿过去了就过去了呗，也不是别人的错。,0
很在意。这应该是一个比较严肃的事情，不应该随意。,NA
我看了不少答主的文章，我感觉大家最介意的是：对现任不够忠诚!无论你之前，在和前任同居的时候受了多少委屈，这和现任是没有任何关系的，那都是你自己的选择，作为一个成年人，要学会对自己的选择负责。但凡你舍得把对前任的包容和忠诚掏出一半给现任的话，我觉得大部分人都不会直接说“我介意”。很明显的是，很多人不仅没有做到，还觉得自己在上一任那里受的委屈，和没有拿到东西，一定要在现任这里拿到手，比如房子，车子，存款之类的。现任这是上辈子欠你的吗？为啥要这么刁难人家?有困难找政府，个人不包扶贫。这种行为还有一个词叫做“双标”，不仅“标”理直气壮，还“标”得自己很高尚似的。忠诚，“简而言之就是捍卫。为了正义的事业无条件地付出自己的一切。全方位精准打击敌对势力，不遗余力地匡扶正义正气。竭尽全力，肝脑涂地，使命必达。 《忠经》：忠者、中也，至公无私。忠也者、一其心之谓矣。为历代儒客推崇。”——来自百度上述解释是字面上的意思，但是我觉得这个词不仅可以用在国家方面，还可以用在亲情和爱情上面。叶利钦选择普京，就是因为看中了他身上那种毫不动摇的忠诚；后面的二十年也证明了叶利钦的眼光是好的。俄罗斯有一首歌叫《嫁人就要嫁像普京这样子的人》，这首歌有一个核心思想：就是对家庭忠诚，对工作忠诚，对民族忠诚的男人很受欢迎。同理可得，这条规律适用于男女。,NA
如果我与其他人睡过，我不会介意，因为我不配介意。,0
不可原谅  才是对象吗？  就这样以后结婚还能好吗？,0
介意！虽然现在风气开放了，但是洁身自爱还是要有的！,0
介意。因为我没有过。当然如果允许我后补票。那我也可以不介意。,1
不介意啊？他自己的过去和我自己毫无关系，我只是知道了，也看上眼了他自己这个男人了而已，也看上他自己的小宝宝。,0
嗯……，其实我是有点感情洁癖滴人，虽然说哈，我可能和他在一起啦，那么他以前咋样都过去了，但是心里还是会有一点点疙瘩。,0
两个人共同走向未来才会幸福！,1
拍个拖都不行还说同居,0
谢邀。。。简单回答就是我同居过，以后我也会介意另一半的同居史。。。。个人情况正在同居中马上满两年和前男友有一个月同居经历为什么说介意另一半同居史因为我会介意是什么重要的因素让他都走到同居这一步了最后还是会分开如果是单纯的生活时间久了没有激情了就分开了那我就会考虑这个男生对感情是不是不够负责任大概率我就不会和他在一起如果是女方出轨，女方家暴，女方扶弟魔，女方厌倦，女方要天价彩礼等等等这些问题导致他们同居后分开那我就会考虑男生在步入同居的时候的年龄和生活经历以及女方问题是否有刻意隐瞒是否可以提早得知以此来判断这个男生是不是一个会冲动做决定，是不是恋爱脑上头就会失去理智判断，以及是不是在生活中不够幽默有情调然后再综合他的客观条件和我对他的来电程度决定要不要继续和他发展总的来说就是我介意因为人的一段经历是会反映这个人的性格，做事风格，能力和人品的而一段最终失败的同居史就是最好的素材相应的如果一个男生有同居史且单纯因为女方因素最后分开了在我眼里他会比同等条件但没有同居史的男生更吸引我因为他会更懂女孩子相处起来更舒服，更知道同居中出了问题怎么调整是最优解，不用我在工作生活之余还要去花时间带着他谈恋爱，并更会珍惜新的这段来之不易慎之又慎的感情所以我介意另一半同居史就像我介意另一半的学历，家庭环境。这些都是他之前生活的点滴，可以让我在更短的时间内更全面地去了解一个人在我眼里因为女方原因分开的同居史或离婚史男生，好过有恋爱经验的男生好过一张白纸好过因为男方原因分开的同居史或离婚史男生就酱,0
先问ta介不介意我去p过,NA
介意，很介意，特别介意我连他有个处了两年的前女友都介意的不行。虽然是大学那种男女朋友关系，但还是很介意。我和他在一起的每一个瞬间，都可能会想起是不是他们之前也是这样相处的 。我介意，倒不如说我很害怕，我怕他牵我手的时候，某一瞬间想到的是以前也这么牵过她的手。我怕他抱我的时候，也会有那么一瞬间想到抱过她。我所有的第一次身体接触都是和他，我多想他所有的第一次也是和我 。谢谢他的前女友，让他成为今天的他，遇到现在的我。她也是个很好的女生吧。,0
介意，非常介意，我原来的宝，跟我好之后我知道了她不是处，然后......果断分手,NA
不介意，但是我介意和我在一起后，他能不能好好爱我,0
介意就分手啊换个没同居过的不介意就凑活过跟谁过不是过,0
最初在一起时，都是奔着一辈子去的，只是可惜，中途有人提前离开了！如果谈的时间不长，身上那个人的影子已经淡化了，可以接受！但是，心里还没有放下前人，那就会感到不舒服！,0
我当然介意，但是呢？我喜欢他了，女生在感情中都是不理智的，如果他可以彻底忘掉前任，非常爱我，我会接受他的一切，但是，他如果念念不忘的话，那真是有点狗了，只能分手，或者干脆就不要开始！,0
有任相亲对象谈了快一年了才告诉我非处，之前谈了快三年了……我脑补很大几率是同居过的，现场直接翻脸了，她当时还敢还嘴我靠，我炸了打了她记耳光。这种人现在想起还咬牙切齿，真应该去她公司给她吹吹喇叭一开始就说清楚，我保证井水不犯河水，当没认识这个人否则要是让我知道有所隐瞒，我会用最原始粗暴的方法还击,1
你会介意吗？还是说你想听故事，我没故事讲给你听，闲的蛋疼问这个问题，你介意吗？,1
介意我22岁，处过3个对象，但是没有过性行为，我觉得做爱是双方都确定能对彼此负责后才能做的事。恶心下各位朋友，一个闺蜜和我聊天，说到啪啪的时候，她和我说啪啪这个是有很强的身体记忆的，就是说你回想这件事的时候能很强烈的感觉到那种感觉…所以我8太能接受和别人同居过的女孩子，可能是我这人太矫情吧。,1
现在社会越来越开放了。尤其是对性的禁忌也在逐步打开。这个问题感觉等同于问介不介意对方是不是处？人的一辈子这么长，出场顺序有先后，不应该纠结于对方是不是处，而更应该注重双方三观是不是相合，有没有共同语言。开展一段感情，注重的是双方的现在和将来，对目前感情忠贞，就足够了。,0
"如果你真的爱她你就不会在乎她的过去,有一个人告诉过我,爱是伟大的,爱就要学会包容. 如果我也同居过，就没资格介意。 处男，介意这个可以理解。但没几个真处男。 不错，若你已经不是处男，又怎么能要求别人呢/ 不过同居过关系又一样了，关键是看个人爱女方有多深了 真爱,珍爱! 不会的..如果你很爱她的话... 只要她真心爱你就行了，话是这么说，可是心里总是有点别扭对吧…… 会有人不介意吗？",0
这种不是应该直接分手么，就别介意不介意的了.,1
会介意。算起来，我到现在一共有过两个女朋友，我们拉过手，拥抱过，亲吻过，也一起在校外的小旅馆门前徘徊过。但我们都守住了最后的底线，因为我们都觉得，在许下相守一生的承诺前，这样做是对对方的不负责任。而轻易地许下相守一生的承诺，本身就是一种幼稚。,1
当然不介意，只要她不介意我和别人睡觉,1
介意什么？,1
我觉得年轻的时候or感情经历比较少的时候，可能会介意很多东西吧。什么，是不是初恋，谈过几个，是不是处，和前任一起干过什么，有没有同居过……但是当年纪大了or经历过一些失败的感情后，要求就没那么多了。找到一个品行OK，没什么疾病，能沟通，喜欢自己，家境尚可的人就很好了。过去的经历固然重要，但是更重要的是经历过那些东西之后，现在的他是个什么样的人。放过别人也是放过自己吧。计较太多，在乎太多很难幸福。,NA
说不介意是骗人的。他还不是我男朋友的时候，跟我说过，他和ex同居后来不快乐就分开了。想想有些失落吧，确实，我没同居过你居然和其他女生同居。但仔细想想又觉得这样的思维有问题。同居和谈恋爱结婚其实差不多吧（我是这样认为的，不要杠），都是必须认真负责且珍惜。刚开始肯定是甜蜜的，谁会傻到不开心还和他人开始一段感情？但慢慢的，问题就出现了，当两个人开始厌倦，这段感情也就该结束了。所以不管分手，同居过后分开还是离婚，两个人不合适不快乐就该分开。应该多往好处想。他们分开了，不再有可能了，我需要把握好现在，因为未来是我和他的。同居过，他也会发现自身的问题，如果他很爱我就会反省改正，并且能够带领我一起成长。我看回答大部分都是否定,1
这个问题，看自己怎么想的，自己介意就介意，自己不介意就不介意喽,NA
介意，非常介意我自己没有同居过。但是在外租房，房子隔音很差，旁边就是小情侣。那个激情燃烧啊，干柴烈火啊，岁月如歌啊，噼里啪啦啊，啪啪啪啪啊。听的我是面红耳赤，心跳加速。而且那个房间还特别小！我一个大活人都嫌挤更别提两个大活人，简直就是为床而生，固定炮房。还经常吵架，和好，啪啪啪。琼瑶剧已经过气，新时代的偶像剧剧情轮番上演。我一个旁观者都听的带劲。明明是三个人的舞台，我却不配拥有姓名！反正在一起住了不到3个月，我过够了。去特么的情侣，以后我再和情侣合租我就是傻逼。,0
女的介意，当然介意，一想自己老公和别的女人一起住，心里膈应死了呀！我同意楼上说的，这种和二婚没区别,0
我说不介意，我自己都不信。我反正不会找，我甚至都不会找有过性经历的。,0
不要去介意，不问过去，用心把握现在。,1
如果在认识我之前怎么样那都是和我没关系的，因为那是在认识我之前，所以我感觉在一起之后的衷心最重要。,0
我会介意，所以我会慎重考虑同居这个事。男朋友也是为我考虑了很多，都觉得感情到位了，可以同居了。现在同居一年，他妈妈知道我们同居，计划明年结婚。,0
说不介意肯定是假的，同居就是一块过日子了，各种菜米油盐鸡毛蒜皮的事都经历过了跟人家，为啥没走到最后，那肯定是有原因的，最后肯定是没改才分开的。所以如果我没跟别人同居过，我就会很介意他有没有。如果我同居过也就不要介意人家了嘛,0
这个问题已经问的太多了，没有什么新意，男人，心中始终都有一块净土。谁都不想喝别人喝过的矿泉水，哪怕你是农夫山泉。,1
当然介意，甚至我还会介意和别人睡过的，我自身也没有这种经历，但是如果自己做不到却要求别人做得到，就会很双标！现实的生活是一个愿打一个愿挨的，很多人说的做的都是不一样的,1
婚恋观的符合与否本身就是对象的前置条件简单来说就是各论各，对号入座同时对别人要求高对自己低不叫婚恋观叫双标当然因为自己的婚恋观以及配套的生活方式所造成的一切后果每个人都是应该心里有数并且有所准备的个人婚恋观可以接受那就行当然遇到声称所谓某种高等级存在形式的爱情的家伙直接转头就走，多说一句都是输了,1
超级介意！我滴男朋友从头到尾从手到脚都只能是我一个人的！！而且我真的超级在意他的过去…我这个纠结怪,0
为什么游戏有那么多代练的，买号卖号的。有市场就有人做市场。,1
